Epoch 1, Mistakes: 332, Train acc: 0.91, Test acc: 0.83
Epoch 2, Mistakes: 152, Train acc: 0.91, Test acc: 0.82
Epoch 3, Mistakes: 120, Train acc: 0.96, Test acc: 0.86
Epoch 4, Mistakes: 104, Train acc: 0.94, Test acc: 0.85
Epoch 5, Mistakes: 100, Train acc: 0.95, Test acc: 0.86
Epoch 6, Mistakes: 82, Train acc: 0.97, Test acc: 0.87
Epoch 7, Mistakes: 61, Train acc: 0.97, Test acc: 0.87
Epoch 8, Mistakes: 59, Train acc: 0.97, Test acc: 0.87
Epoch 9, Mistakes: 57, Train acc: 0.99, Test acc: 0.88
Epoch 10, Mistakes: 43, Train acc: 0.99, Test acc: 0.87
Epoch 11, Mistakes: 50, Train acc: 0.96, Test acc: 0.85
Epoch 12, Mistakes: 33, Train acc: 0.99, Test acc: 0.87
Epoch 13, Mistakes: 35, Train acc: 0.97, Test acc: 0.85
Epoch 14, Mistakes: 21, Train acc: 0.98, Test acc: 0.87
Epoch 15, Mistakes: 24, Train acc: 0.97, Test acc: 0.84
Epoch 16, Mistakes: 26, Train acc: 0.98, Test acc: 0.87
Epoch 17, Mistakes: 25, Train acc: 0.97, Test acc: 0.84
Epoch 18, Mistakes: 27, Train acc: 0.96, Test acc: 0.83
Epoch 19, Mistakes: 30, Train acc: 0.97, Test acc: 0.85
Epoch 20, Mistakes: 31, Train acc: 0.98, Test acc: 0.85

Final Train Accuracy: 97.72%
Final Test Accuracy: 85.50%